basis,factor,alpha,alpha_morozov,E2,residual
Legendre,0.46415888336127775,0.0003796416259348289,0.0008179130886941037,0.010718571059271762,0.0006495825930927603
Legendre,0.6812920690579611,0.0005572377005059936,0.0008179130886941037,0.00995743898093934,0.0007839519951152581
Legendre,1.0,0.0008179130886941037,0.0008179130886941037,0.00952056779436735,0.0010099657556233836
Legendre,1.467799267622069,0.0012005322325637099,0.0008179130886941037,0.009402954723651949,0.0013714148686024463
Legendre,2.154434690031882,0.0017621403317137005,0.0008179130886941037,0.009594832461006536,0.0019277462733191919
Legendre,3.1622776601683795,0.0025864682883366824,0.0008179130886941037,0.010100915519359793,0.00276381177099805
Legendre,4.6415888336127775,0.003796416259348289,0.0008179130886941037,0.01096992567463023,0.004003444424598641
Legendre,6.812920690579608,0.005572377005059933,0.0008179130886941037,0.012328284018298228,0.00582767696852185
Legendre,10.0,0.008179130886941038,0.0008179130886941037,0.014418831144881468,0.008499751482498936
Legendre,14.67799267622069,0.012005322325637098,0.0008179130886941037,0.017644619875807135,0.012399473319999325
Legendre,21.54434690031882,0.017621403317137005,0.0008179130886941037,0.02260749142567259,0.018069285490661457
Legendre,31.622776601683793,0.025864682883366824,0.0008179130886941037,0.030138063345061215,0.02627323140033324
Legendre,46.41588833612777,0.037964162593482884,0.0008179130886941037,0.04133594900707749,0.0380661930178307
Legendre,68.12920690579608,0.05572377005059933,0.0008179130886941037,0.0576302306476028,0.05486191380079868
Legendre,100.0,0.08179130886941037,0.0008179130886941037,0.08082671558027044,0.07847121848923902
B-spline,0.01,8.179205392450458e-06,0.0008179205392450457,0.04075718725771168,0.0004559668560890382
B-spline,0.014677992676220698,1.2005431684769265e-05,0.0008179205392450457,0.03310718116174023,0.00046257650062030457
B-spline,0.021544346900318832,1.762156383439111e-05,0.0008179205392450457,0.027700263563216795,0.000468313918973995
B-spline,0.03162277660168379,2.586491849047482e-05,0.0008179205392450457,0.02386907330004266,0.0004735708552856095
B-spline,0.046415888336127774,3.7964508417423455e-05,0.0008179205392450457,0.02100786974974465,0.00047895371146630466
B-spline,0.06812920690579612,5.572427765072605e-05,0.0008179205392450457,0.018678836030055705,0.0004853633218785641
B-spline,0.1,8.179205392450458e-05,0.0008179205392450457,0.01663809844031653,0.0004942246301513512
B-spline,0.1467799267622069,0.0001200543168476926,0.0008179205392450457,0.014799532343097138,0.0005080329561641712
B-spline,0.21544346900318834,0.0001762156383439111,0.0008179205392450457,0.013172086345449677,0.0005314929026601196
B-spline,0.31622776601683794,0.00025864918490474826,0.0008179205392450457,0.0117993759366317,0.000573482299635566
B-spline,0.46415888336127775,0.0003796450841742346,0.0008179205392450457,0.010720978404460013,0.0006495712443944019
B-spline,0.6812920690579611,0.0005572427765072605,0.0008179205392450457,0.00995961408114582,0.0007839460888242182
B-spline,1.0,0.0008179205392450457,0.0008179205392450457,0.009522472772869226,0.0010099657556232368
B-spline,1.467799267622069,0.0012005431684769259,0.0008179205392450457,0.00940459346186632,0.001371421091009968
B-spline,2.154434690031882,0.0017621563834391099,0.0008179205392450457,0.00959622400371095,0.0019277595387458594
